2016/08/28	フローの定義そのものはJSON形式だが、GUI ...	山田	2016/08/01 13:55:30	03-6234-0361	フローの定義そのものはJSON形式だが、GUIのデザイナーを使って簡単にAPIAppsを追加し、処理をつなげていくことができる。	
2016/08/14	StreamAnalyticsは、ストリーミングデータ ...	山田	2016/08/02 12:18:17	03-6234-0549	StreamAnalyticsは、ストリーミングデータをほぼリアルタイムで分析・処理を行い、出力できるサービスだ。&kBLOBストレージ上のファイルやEventHubsからデータを入力し、SQLに似たStreamAnalyticsのクエリ言語を用いて処理し、再度BLOBやEventHubsに出力してストリーミングのパイプラインをつなげることができるほか、SQLDatabaseに保存することも可能だ。	
2016/08/10	Schedulerは、定期的または指定日時にHTTP ...	山田	2016/08/02 17:40:03	03-6234-0593	Schedulerは、定期的または指定日時にHTTP／HTTPSを使用して他のWebサービスの呼び出しや、AzureStorageのQueueにメッセージを投げることができるサービスだ。&kアプリケーションのメンテナンスの実行など、指定期間で実施したいタスクを呼び出すのに利用できる。&kまた、Webサービスを用意しなくてもQueueを経由して非同期に処理を依頼することも可能だ。	
2017/08/19	WebAppsは、Webアプリケーションをホスティ...	山田	2016/08/03 09:43:26	03-6234-0116	WebAppsは、Webアプリケーションをホスティングすることに特化したAppServiceのアプリケーション・タイプだ。&k現時点ではWindows上で、.NET／PHP／Node.js／Python／JavaといったラインタイムのWebアプリケーションを稼働させることができる。	
2016/08/29	モバイルファースト＋クラウドファーストを...	山田	2016/08/04 03:22:20	03-6234-0152	モバイルファースト＋クラウドファーストを目指すプラットフォームとして、昨今のAzureはさまざまなサービスが提供されている。	
2016/08/26	標準的なWebアプリケーション、例えばWordP...	山田	2016/08/04 19:16:32	03-6234-0350	標準的なWebアプリケーション、例えばWordPressやUmbracoなどを利用したいのであれば、ギャラリーから選択して簡単に配置することも可能なのが特徴だ。	
2016/08/25	自動スケール機能やブラウザー上でのコード...	西田	2016/08/05 11:54:22	03-6234-0665	自動スケール機能やブラウザー上でのコード編集、GitHubやTFS（TeamFoundationServer）といったバージョン管理システムからのアプリケーション配置や、FTPによるファイルベースの配置など、多数の機能が含まれる。	
2016/08/30	CDNはBLOBストレージ上の画像やテキスト、 ...	西田	2016/08/06 08:51:59	03-6234-0591	CDNはBLOBストレージ上の画像やテキスト、ビデオなどのコンテンツやクラウドサービス上のコンテンツをデータセンターではなく世界29カ所のCDNノードに複製し、よりクライアントに物理的に近い場所から配信することでパフォーマンスを向上させるためのサービスだ。	
2016/08/13	SiteRecoveryは、オンプレミスのHyper-Vサ ...	西田	2016/08/07 05:57:31	03-6234-0382	SiteRecoveryは、オンプレミスのHyper-Vサーバー上やSystemCenterVirtualMachineManager（SCVMM）で稼働しているHyper-V仮想マシンを、他の拠点やAzure上に保護できるサービスだ。&kSiteRecoveryを経由することで、他の拠点やAzure上に仮想マシンの状態をレプリケーションし、拠点に障害が発生した際にレプリケーション先で仮想マシンを稼働させ、サービスを継続させることが可能だ。&kまたInMage社のScottテクノロジを使用してVMware環境の保護も可能だ*1。	
2016/08/24	モバイルファーストとして、iOSやAndroidな...	西田	2016/08/07 11:04:21	03-6234-0077	モバイルファーストとして、iOSやAndroidなどの多様なプラットフォームや開発言語に対応している。&kSDKなどの各種ツールもGitHubで公開されており、開発に参加することが可能だ。	
